Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",135.520000,-84.500000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",141.520000,-90.500000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",144.500000,-91.000000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",147.520000,-93.000000,0.000000,top
"C5","0.1uF","C_0402_1005Metric",147.520000,-91.000000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",147.520000,-90.000000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",130.500000,-95.000000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",144.500000,-92.000000,0.000000,top
"C9","1uF","C_0402_1005Metric",134.000000,-81.520000,0.000000,top
"C10","1uF","C_0402_1005Metric",136.520000,-89.500000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",131.500000,-94.980000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",134.000000,-83.000000,0.000000,top
"C13","10uF","C_0402_1005Metric",138.655000,-71.000000,0.000000,top
"C14","10uF","C_0402_1005Metric",136.000000,-81.000000,0.000000,top
"C15","33pF","C_0402_1005Metric",132.300000,-97.980000,-90.000000,top
"C16","33pF","C_0402_1005Metric",126.500000,-97.980000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",147.520000,-92.000000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",132.000000,-64.000000,180.000000,top
"J2","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",168.000000,-84.500000,-40.000000,top
"J3","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",107.500000,-69.000000,29.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",113.500000,-109.500000,45.000000,top
"J5","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",160.500000,-76.000000,-40.000000,top
"J6","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",164.500000,-80.000000,-43.000000,top
"J7","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",155.500000,-72.000000,-37.000000,top
"J8","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",171.000000,-88.500000,-50.000000,top
"J9","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",113.000000,-67.000000,20.000000,top
"J10","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",151.500000,-66.000000,-65.000000,top
"J11","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",135.500000,-109.000000,0.000000,top
"J12","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",173.500000,-92.500000,-56.000000,top
"J13","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",140.500000,-109.000000,0.000000,top
"J14","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",175.500000,-97.000000,-59.000000,top
"J15","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",179.500000,-106.000000,-65.000000,top
"J16","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",167.500000,-113.000000,-27.000000,top
"J17","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",162.500000,-111.500000,-18.000000,top
"J18","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",157.500000,-110.500000,-12.000000,top
"J19","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",153.000000,-110.000000,-10.000000,top
"J20","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",181.000000,-110.500000,-70.000000,top
"J21","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",172.000000,-115.500000,-30.000000,top
"J22","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",83.000000,-108.000000,99.000000,top
"J23","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",93.500000,-119.500000,45.000000,top
"J24","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",105.500000,-112.000000,35.000000,top
"J25","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",123.500000,-108.000000,0.000000,top
"J26","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",127.500000,-108.000000,0.000000,top
"J27","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",131.500000,-108.500000,0.000000,top
